AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
FRANKSTON PD,0,2,1,6,14,31,2,56,1174,2015,Anderson County
ANDERSON CO SO,7,11,3,52,174,184,25,456,38087,2015,Anderson County
PALESTINE PD,2,25,18,137,131,534,48,895,18299,2015,Anderson County
ANDREWS CO SO,0,6,2,8,12,68,20,116,4413,2015,Andrews County
ANDREWS PD,0,12,10,56,48,245,31,402,13835,2015,Andrews County
ANGELINA CO SO,3,11,4,58,192,319,35,622,39494,2015,Angelina County
LUFKIN PD,1,7,44,90,328,1309,60,1839,36401,2015,Angelina County
HUDSON PD (NR),0,2,1,15,18,53,1,90,4781,2015,Angelina County
HUNTINGTON PD,0,2,1,3,30,14,2,52,2104,2015,Angelina County
DIBOLL PD,0,2,0,6,26,46,5,85,5371,2015,Angelina County
ROCKPORT PD,0,2,4,22,148,504,22,702,10570,2015,Aransas County
ARANSAS CO SO,1,19,1,72,113,162,15,383,12594,2015,Aransas County
FULTON PD (NR),0,0,0,10,10,10,0,30,1534,2015,Aransas County
ARANSAS PASS PD,1,0,2,34,144,262,14,457,8534,2015,Aransas County
ARCHER CO SO (NR),0,0,0,7,11,37,7,62,5281,2015,Archer County
ARMSTRONG CO SO,0,0,0,1,11,11,2,25,1973,2015,Armstrong County
PLEASANTON PD,1,5,3,17,100,501,33,660,9819,2015,Atascosa County
LYTLE PD,0,0,0,0,17,142,6,165,2855,2015,Atascosa County
JOURDANTON PD,0,0,0,1,0,0,0,1,4274,2015,Atascosa County
ATASCOSA CO SO,4,0,2,76,187,306,60,635,28803,2015,Atascosa County
POTEET PD,1,2,0,7,29,103,12,154,3426,2015,Atascosa County
BELLVILLE PD,0,3,2,6,17,45,0,73,4235,2015,Austin County
SEALY ISD PD,0,0,0,1,1,5,0,7,0,2015,Austin County
AUSTIN CO SO,0,3,2,13,48,61,8,135,17499,2015,Austin County
WALLIS PD,0,0,0,0,3,10,0,13,1284,2015,Austin County
SEALY PD,0,2,0,33,52,162,5,254,6336,2015,Austin County
MULESHOE PD,0,3,2,6,25,79,10,125,4932,2015,Bailey County
BAILEY CO SO,0,1,0,8,21,25,4,59,1933,2015,Bailey County
BANDERA CO SO,0,8,0,13,102,194,16,333,21024,2015,Bandera County
SMITHVILLE PD,0,3,1,4,17,79,1,105,4050,2015,Bastrop County
BASTROP PD,0,5,1,16,23,426,20,491,8019,2015,Bastrop County
BASTROP CO SO,4,42,16,154,309,445,79,1049,59369,2015,Bastrop County
ELGIN PD,0,0,15,11,38,131,11,206,8744,2015,Bastrop County
BAYLOR CO SO,0,0,0,1,9,1,4,15,960,2015,Baylor County
SEYMOUR PD,0,2,0,6,26,52,1,87,2610,2015,Baylor County
BEE CO SO,3,0,2,21,36,62,7,131,19766,2015,Bee County
BEEVILLE PD,0,0,3,40,96,373,1,513,13414,2015,Bee County
MORGAN'S POINT RESORT PD,0,0,0,3,5,13,1,22,4214,2015,Bell County
BELL CO SO,2,29,6,61,228,481,83,890,58377,2015,Bell County
TEMPLE PD,2,19,71,68,591,2008,157,2916,71780,2015,Bell County
SALADO PD,0,0,2,1,6,11,0,20,2133,2015,Bell County
BELTON PD,0,1,5,22,146,551,5,730,20565,2015,Bell County
KILLEEN ISD PD,0,1,1,2,2,65,0,71,0,2015,Bell County
HARKER HEIGHTS PD,2,23,17,37,150,617,31,877,28935,2015,Bell County
TX A&M UNIV: CENTRAL TEXAS PD (NR),0,0,0,0,3,4,0,7,0,2015,Bell County
KILLEEN PD,17,190,148,513,1038,2826,174,4906,140497,2015,Bell County
UNIV OF MARY HARDIN BAYLOR PD (NR),0,0,0,1,2,60,3,66,0,2015,Bell County
NOLANVILLE PD,0,1,0,10,15,41,12,79,4671,2015,Bell County
TROY PD (NR),0,0,0,2,6,16,3,27,1774,2015,Bell County
CENTRAL TEXAS COLLEGE PD,0,0,0,0,0,16,0,16,0,2015,Bell County
BALCONES HEIGHTS PD,0,3,4,26,19,377,29,458,2934,2015,Bexar County
BEXAR CO SO,14,114,98,318,1486,4307,384,6721,293036,2015,Bexar County
KIRBY PD,0,1,7,16,32,141,19,216,8549,2015,Bexar County
SELMA PD,0,3,2,7,30,185,11,238,9397,2015,Bexar County
SAN ANTONIO PD,94,1049,1986,5465,11632,55803,6176,82205,1463586,2015,Bexar County
ST MARY'S UNIV PD,0,1,0,0,2,14,2,19,0,2015,Bexar County
WINDCREST PD,0,1,4,6,11,335,15,372,5800,2015,Bexar County
SOMERSET PD,0,0,0,2,7,3,0,12,1779,2015,Bexar County
LEON VALLEY PD,0,5,16,13,85,575,65,759,11224,2015,Bexar County
OLMOS PARK PD,0,0,0,0,2,37,0,39,2391,2015,Bexar County
CASTLE HILLS PD,0,0,6,3,30,242,14,295,4421,2015,Bexar County
TRINITY UNIVERSITY PD (NR),0,2,0,0,8,31,2,43,0,2015,Bexar County
TERRELL HILLS PD,0,0,0,0,17,70,3,90,5296,2015,Bexar County
ALAMO COMM COLLEGE DIST PD,0,0,1,2,32,166,6,207,0,2015,Bexar County
TX A&M UNIV: SAN ANTONIO PD,0,0,0,0,1,6,1,8,0,2015,Bexar County
UNIV OF TX: SAN ANTONIO PD,0,3,1,0,6,115,7,132,0,2015,Bexar County
HELOTES PD,1,0,2,3,13,179,3,201,8629,2015,Bexar County
LIVE OAK PD,1,8,8,23,25,468,36,569,15628,2015,Bexar County
CONVERSE PD,2,16,10,88,55,304,34,509,21773,2015,Bexar County
JUDSON ISD PD,0,0,1,0,2,189,0,192,0,2015,Bexar County
