County,Year,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Total_Crime,Population,Violent_Offenses,NonViolent_Offenses
Anderson County,2015,9,38,195,319,749,75,1407,57560,242,1143
Anderson County,2016,2,44,237,259,485,94,1145,57250,283,838
Anderson County,2017,2,25,153,278,536,64,1078,57569,180,878
Anderson County,2018,1,8,96,198,531,62,907,57491,105,791
Anderson County,2019,2,23,100,249,514,82,984,57657,125,845
Anderson County,2020,4,15,109,208,456,70,869,57474,128,734
Andrews County,2015,0,18,64,60,313,51,518,18248,82,424
Andrews County,2016,1,21,61,78,286,36,485,18785,83,400
Andrews County,2017,0,8,54,57,185,25,330,18285,62,267
Andrews County,2018,0,10,61,60,187,33,352,18130,71,280
Andrews County,2019,0,14,68,69,190,23,367,18473,82,282
Andrews County,2020,2,13,51,46,330,32,476,19130,66,408
Angelina County,2015,4,24,172,594,1741,103,2688,88151,200,2438
Angelina County,2016,1,32,181,532,1523,140,2445,88262,214,2195
Angelina County,2017,6,25,180,475,1663,161,2548,87845,211,2299
Angelina County,2018,1,45,187,474,1420,150,2297,87687,233,2044
Angelina County,2019,2,56,199,505,1590,183,2575,86568,257,2278
Angelina County,2020,4,55,292,1122,1483,200,3211,86399,351,2805
Aransas County,2015,2,21,138,415,938,51,1572,33232,161,1404
Aransas County,2016,3,23,146,417,939,55,1599,33526,172,1411
Aransas County,2017,1,19,116,353,779,62,1336,33764,136,1194
Aransas County,2018,2,23,114,324,771,73,1315,33339,139,1168
Aransas County,2019,0,25,110,282,728,65,1222,31112,135,1075
Aransas County,2020,4,19,110,297,671,60,1169,31073,133,1028
Archer County,2015,0,0,7,11,37,7,62,5281,7,55
Archer County,2016,0,1,9,9,28,6,54,5182,10,43
Archer County,2017,0,0,10,3,14,2,29,5207,10,19
Archer County,2018,0,3,1,5,6,1,16,1742,4,12
Archer County,2019,0,3,3,2,0,0,8,1732,6,2
Archer County,2020,0,0,1,4,10,2,17,1687,1,16
Armstrong County,2015,0,0,1,11,11,2,25,1973,1,24
Armstrong County,2016,0,0,3,4,5,1,13,1951,3,10
Armstrong County,2017,0,0,4,9,10,5,29,1870,4,24
Armstrong County,2018,0,4,3,6,9,2,24,1871,7,17
Armstrong County,2019,0,0,1,10,5,3,19,1879,1,18
Armstrong County,2020,0,0,0,0,3,1,4,1880,0,4
Atascosa County,2015,6,7,101,333,1052,111,1615,49177,114,1496
Atascosa County,2016,3,8,81,319,915,92,1435,49596,92,1326
