county,murder,rape,assault,burglary,larceny,auto_theft,violent_offenses,nonviolent_offenses,total_crime,population
Anderson County,20,153,890,1511,3271,447,1063,5229,6390,57500
Andrews County,3,84,359,370,1491,200,446,2061,2528,18508
Angelina County,18,237,1211,3702,9420,937,1466,14059,15764,87485
Aransas County,12,130,734,2088,4826,366,876,7280,8213,32674
Archer County,0,7,31,34,95,18,38,147,186,3472
Armstrong County,0,4,12,40,43,14,16,97,114,1904
Atascosa County,20,63,542,1552,4762,658,625,6972,7667,50416
Austin County,3,47,233,589,1123,178,283,1890,2202,29846
Bailey County,1,8,53,148,353,41,62,542,607,7037
Bandera County,1,65,89,558,875,156,155,1589,1749,22202
Bastrop County,27,295,1144,1836,5556,740,1466,8132,9813,85918
Baylor County,0,8,42,79,170,26,50,275,326,3570
Bee County,10,19,383,872,2232,110,412,3214,3658,32767
Bell County,167,1496,4532,10545,33619,4169,6195,48333,56207,348258
Bexar County,825,8908,45824,71777,356443,46313,55557,474533,543627,1972257
Blanco County,2,16,82,162,257,56,100,475,579,11522
Borden County,0,2,8,23,39,8,10,70,80,651
Bosque County,1,3,59,262,349,31,63,642,706,16627
Bowie County,27,348,1901,3107,11010,1133,2276,15250,17885,93622
Brazoria County,49,709,2417,5602,26331,2500,3175,34433,38304,369691
Brazos County,38,895,2556,4993,24075,1886,3489,30954,35089,224101
Brewster County,5,18,78,231,286,35,101,552,654,9190
Briscoe County,0,2,3,14,25,8,5,47,52,1496
Brooks County,1,1,100,346,478,3,102,827,932,7160
Brown County,6,171,573,1122,3846,265,750,5233,6039,37824
Burleson County,2,43,144,334,638,60,189,1032,1237,17466
Burnet County,5,175,475,926,2534,297,655,3757,4441,48575
Caldwell County,6,63,405,697,1980,221,474,2898,3424,41582
Calhoun County,9,93,430,685,1240,149,532,2074,2626,19521
Callahan County,2,8,71,326,426,91,81,843,930,13801
Cameron County,45,1211,6000,10857,53793,2087,7256,66737,75372,423935
Camp County,6,27,149,357,715,124,182,1196,1393,12897
Carson County,2,6,127,91,152,29,135,272,410,5961
Cass County,4,86,385,1084,1796,229,475,3109,3621,29685
Castro County,1,7,55,227,405,60,63,692,758,7607
Chambers County,14,92,484,828,3314,493,590,4635,5300,37318
Cherokee County,13,135,771,1595,3408,468,919,5471,6458,51754
Childress County,0,3,16,45,66,16,19,127,146,3086
Clay County,3,31,58,239,352,101,92,692,792,10294
Cochran County,0,4,19,87,147,22,23,256,280,2840
Coke County,1,0,8,42,22,15,9,79,88,3290
Coleman County,1,17,87,188,118,20,105,326,436,5367
Collin County,80,1715,3933,10175,60523,4752,5728,75450,82636,966516
Collingsworth County,0,0,17,16,12,1,17,29,46,1986
Colorado County,4,33,196,389,876,171,233,1436,1696,21065
Comal County,25,416,1552,2642,9518,1195,1993,13355,15549,155973
Comanche County,8,21,123,360,909,53,152,1322,1483,13434
Concho County,0,0,32,28,19,7,32,54,86,3649
Cooke County,8,130,477,859,2624,250,615,3733,4417,39128
Coryell County,10,112,929,1298,4896,269,1051,6463,7631,75658
Cottle County,1,0,10,8,8,2,11,18,29,878
Crane County,2,7,18,33,93,21,27,147,174,4939
Crockett County,1,1,23,176,78,13,25,267,295,3604
Crosby County,0,3,22,106,70,19,25,195,223,4875
Culberson County,0,0,0,0,0,0,0,0,0,2185
Dallam County,2,41,226,407,845,94,269,1346,1623,9954
Dallas County,1372,7895,45402,95363,328655,83406,54669,507424,595792,2899477
Dawson County,5,54,228,634,1526,149,287,2309,2622,12765
DeWitt County,4,81,472,740,1347,101,557,2188,2754,17325
Deaf Smith County,0,26,410,562,1633,202,436,2397,2884,18720
Delta County,0,1,11,77,71,6,12,154,166,5266
Denton County,59,1874,3384,7527,40493,4350,5317,52370,58762,647855
Dickens County,0,1,22,42,15,11,23,68,92,2171
Dimmit County,1,8,48,211,690,48,57,949,1008,10715
Donley County,2,2,17,64,143,26,21,233,257,3336
Duval County,1,12,221,282,504,165,234,951,1196,11290
Eastland County,5,65,184,510,946,126,254,1582,1843,17362
Ector County,79,665,6225,5715,22716,4343,6969,32774,40680,164974
Edwards County,1,2,8,31,53,7,11,91,102,1898
El Paso County,176,2392,12409,8966,63707,5350,14977,78023,95488,841211
Ellis County,22,265,1042,2499,10624,1132,1329,14255,15861,166777
Erath County,4,155,286,782,2535,171,445,3488,3958,42190
Falls County,2,13,118,217,300,79,133,596,758,14064
Fannin County,2,87,233,666,1292,135,322,2093,2440,31763
Fayette County,4,64,271,466,1147,110,339,1723,2087,25214
Fisher County,0,0,44,74,76,9,44,159,204,3173
Floyd County,1,22,129,158,296,35,152,489,648,5767
Foard County,0,0,0,1,2,0,0,3,3,682
Fort Bend County,107,1149,5471,8776,41467,3279,6727,53522,61945,739020
Franklin County,5,23,76,181,207,34,104,422,528,9970
Freestone County,2,18,161,485,737,107,181,1329,1529,19641
Frio County,3,7,184,801,1111,125,194,2037,2253,19626
Gaines County,4,24,182,335,846,127,210,1308,1525,20943
Galveston County,117,1373,3026,8005,35329,4266,4516,47600,53399,347699
Garza County,0,23,47,98,154,17,70,269,340,6419
Gillespie County,6,11,71,192,967,55,88,1214,1309,26581
Glasscock County,0,0,8,41,64,16,8,121,130,1359
Goliad County,2,14,86,166,327,45,102,538,646,7606
Gonzales County,3,96,552,419,1193,103,651,1715,2383,20481
Gray County,4,56,589,1063,3538,277,649,4878,5576,22510
Grayson County,36,406,1407,3233,9273,1344,1849,13850,15978,128500
Gregg County,74,509,2065,5121,17569,2075,2648,24765,28024,131764
Grimes County,10,55,279,743,1218,227,344,2188,2574,28081
Guadalupe County,23,468,938,2502,10218,845,1429,13565,15187,147547
Hale County,1,59,337,987,3116,234,397,4337,4773,32380
Hall County,1,2,44,60,59,12,47,131,182,2992
Hamilton County,0,10,62,134,345,38,72,517,593,6926
Hansford County,0,4,33,36,53,21,37,110,147,5466
Hardeman County,2,0,10,65,90,12,12,167,179,3762
Hardin County,13,73,405,943,2495,502,491,3940,4471,56764
Harris County,2536,13361,123097,165783,656872,124937,138994,947592,1162602,4707136
Harrison County,22,106,937,2144,4794,627,1065,7565,8773,64819
Hartley County,1,0,3,37,31,14,4,82,86,3045
Haskell County,0,4,30,77,110,41,34,228,266,5771
Hays County,42,722,1753,3365,15337,1659,2517,20361,23303,216973
Hemphill County,0,12,30,31,129,17,42,177,220,4082
Henderson County,19,379,913,2903,4222,816,1311,7941,9350,79375
Hidalgo County,163,2526,9669,18784,100783,5277,12358,124844,139354,856036
Hill County,7,70,260,864,2612,226,337,3702,4084,34643
Hockley County,7,139,629,971,2205,209,775,3385,4198,23248
Hood County,10,104,429,912,4030,309,543,5251,5828,57727
Hopkins County,14,80,232,356,1109,228,326,1693,2061,36601
Houston County,3,9,260,542,1214,113,272,1869,2155,22719
Howard County,16,72,1039,1603,5396,737,1127,7736,8984,36818
Hudspeth County,0,1,18,39,46,16,19,101,120,4213
Hunt County,25,275,1628,2181,5841,950,1928,8972,11119,89206
Hutchinson County,2,125,235,922,2063,248,362,3233,3621,19735
Irion County,1,3,10,35,104,13,14,152,166,1530
Jack County,2,18,79,158,378,88,99,624,727,8800
Jackson County,2,33,97,284,713,73,132,1070,1221,14899
Jasper County,8,153,503,1267,2686,357,664,4310,5012,34798
Jeff Davis County,3,4,14,24,24,6,21,54,75,2202
Jefferson County,156,875,7546,11851,30459,3585,8577,45895,57148,253571
Jim Hogg County,0,4,28,43,43,11,32,97,130,5184
Jim Wells County,8,128,1083,2583,5058,385,1219,8026,9294,39390
Johnson County,20,507,1869,2851,10590,1317,2396,14758,17346,175688
Jones County,8,11,105,324,570,90,124,984,1122,14220
Karnes County,3,16,188,518,1277,110,207,1905,2127,15280
Kaufman County,22,335,964,2526,7417,1224,1321,11167,12703,124354
Kendall County,1,87,155,768,2262,280,243,3310,3575,42503
Kenedy County,0,4,10,8,14,15,14,37,51,410
Kent County,0,1,10,15,35,1,11,51,65,753
Kerr County,16,157,449,758,3331,214,622,4303,4953,51802
Kimble County,1,2,25,50,90,17,28,157,187,4352
King County,0,0,0,3,1,0,0,4,4,187
Kinney County,0,0,5,22,3,3,5,28,34,1944
Kleberg County,8,90,613,1259,4075,183,711,5517,6304,31288
Knox County,0,12,28,143,124,12,40,279,321,3742
La Salle County,0,3,48,40,215,5,51,260,316,7754
Lamar County,10,145,1136,1606,4451,378,1291,6435,7875,49504
Lamb County,2,47,224,433,829,117,273,1379,1666,12649
Lampasas County,2,36,133,390,1529,81,171,2000,2176,18757
Lavaca County,4,45,182,563,769,58,231,1390,1634,22521
Lee County,3,59,159,194,928,72,221,1194,1438,16265
Leon County,1,6,91,445,656,78,98,1179,1279,15856
Liberty County,29,277,1160,1878,5812,1043,1466,8733,10330,74284
Limestone County,3,59,296,729,1678,144,358,2551,2952,23406
Lipscomb County,3,3,19,25,58,19,25,102,128,3452
Live Oak County,2,8,98,241,347,52,108,640,757,9827
Llano County,2,15,87,324,642,64,104,1030,1138,16158
Loving County,0,0,3,6,64,5,3,75,78,137
Lubbock County,97,1420,12275,16109,54708,7384,13792,78201,94700,303596
