County,Year,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Total_Crime,Population,Violent_Offenses,NonViolent_Offenses
Austin County,2015,0,8,53,121,283,13,482,29354,61,417
Austin County,2016,0,6,43,136,239,31,466,29718,49,406
Austin County,2017,0,11,34,98,183,45,376,29963,45,326
Austin County,2018,0,11,32,82,138,29,295,29912,43,249
Austin County,2019,0,5,38,80,147,29,302,30009,43,256
Austin County,2020,3,6,33,72,133,31,281,30121,42,236
Brazoria County,2015,4,114,352,1149,4475,359,6555,350739,470,5983
Brazoria County,2016,8,110,395,996,4443,404,6511,358003,513,5843
Brazoria County,2017,10,113,437,947,4111,370,6079,367132,560,5428
Brazoria County,2018,4,131,377,800,4241,390,6050,373587,512,5431
Brazoria County,2019,10,123,400,1002,4759,472,6899,381928,533,6233
Brazoria County,2020,13,118,456,708,4302,505,6210,386756,587,5515
Brazos County,2015,9,131,447,969,4628,244,6533,213128,587,5841
Brazos County,2016,5,129,474,972,4354,288,6373,218486,608,5614
Brazos County,2017,6,124,399,752,4011,267,5679,224600,529,5030
Brazos County,2018,4,150,395,784,4087,330,5833,226375,549,5201
Brazos County,2019,5,177,373,841,3501,355,5359,229532,555,4697
Brazos County,2020,9,184,468,675,3494,402,5312,232487,661,4571
Chambers County,2015,3,12,95,144,591,112,971,34701,110,847
Chambers County,2016,3,19,109,149,621,76,995,35244,131,846
Chambers County,2017,0,26,63,147,551,17,820,36489,89,715
Chambers County,2018,3,6,44,126,513,85,787,37983,53,724
Chambers County,2019,1,13,67,145,529,105,869,38973,81,779
Chambers County,2020,4,16,106,117,509,98,858,40518,126,724
Fort Bend County,2015,14,147,873,1915,7842,507,11597,680418,1034,10264
Fort Bend County,2016,29,157,749,1998,6643,549,10438,702338,935,9190
Fort Bend County,2017,13,186,874,1332,6572,512,9816,728805,1073,8416
Fort Bend County,2018,14,209,929,1147,6618,458,9656,752245,1152,8223
Fort Bend County,2019,15,224,1007,1252,7186,569,10484,772362,1246,9007
Fort Bend County,2020,22,226,1039,1132,6606,684,9954,797951,1287,8422
Galveston County,2015,14,192,404,1521,6242,572,9177,333684,610,8335
Galveston County,2016,19,214,531,1617,6590,632,9844,340859,764,8839
