County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto_Theft,Total Crimes '15-'20
Austin County,3,47,29,233,589,1123,178,2202
Brazoria County,49,709,696,2417,5602,26331,2500,38304
Brazos County,38,895,646,2556,4993,24075,1886,35089
Chambers County,14,92,75,484,828,3314,493,5300
Fort Bend County,107,1149,1696,5471,8776,41467,3279,61945
Galveston County,117,1373,1283,3026,8005,35329,4266,53399
Grimes County,10,55,42,279,743,1218,227,2574
Harris County,2536,13361,76016,123097,165783,656872,124937,1162602
Liberty County,29,277,131,1160,1878,5812,1043,10330
Matagorda County,20,148,122,638,1601,4798,240,7567
Montgomery County,86,968,1100,4171,8442,33615,4500,52882
Polk County,21,205,61,440,1406,3378,506,6017
San Jacinto County,1,142,14,139,1118,1225,352,2991
Walker County,10,252,168,1003,1230,3957,555,7175
Waller County,14,232,142,701,1139,2758,323,5309
Washington County,4,122,61,464,684,1980,197,3512
Wharton County,10,103,102,706,1163,3900,362,6346
