County,Year,AgencyCount
Austin County,2015,5
Austin County,2016,5
Austin County,2017,5
Austin County,2018,5
Austin County,2019,5
Austin County,2020,5
Brazoria County,2015,21
Brazoria County,2016,22
Brazoria County,2017,22
Brazoria County,2018,21
Brazoria County,2019,24
Brazoria County,2020,22
Brazos County,2015,4
Brazos County,2016,4
Brazos County,2017,4
Brazos County,2018,4
Brazos County,2019,4
Brazos County,2020,4
Chambers County,2015,3
Chambers County,2016,3
Chambers County,2017,3
Chambers County,2018,3
Chambers County,2019,3
Chambers County,2020,3
Fort Bend County,2015,11
Fort Bend County,2016,11
Fort Bend County,2017,11
Fort Bend County,2018,11
Fort Bend County,2019,11
Fort Bend County,2020,11
Galveston County,2015,17
Galveston County,2016,17
Galveston County,2017,17
Galveston County,2018,17
Galveston County,2019,16
Galveston County,2020,17
Harris County,2015,42
Harris County,2016,44
Harris County,2017,44
Harris County,2018,45
Harris County,2019,45
Harris County,2020,45
Liberty County,2016,4
Liberty County,2018,4
Liberty County,2019,4
Liberty County,2020,4
Matagorda County,2015,8
Matagorda County,2016,4
Matagorda County,2017,7
Matagorda County,2018,4
Matagorda County,2019,5
Matagorda County,2020,5
Montgomery County,2015,13
Montgomery County,2016,13
Montgomery County,2017,13
Montgomery County,2018,12
Montgomery County,2019,11
Montgomery County,2020,12
Polk County,2015,4
Polk County,2016,4
Polk County,2017,4
Polk County,2018,4
Polk County,2019,4
Polk County,2020,4
San Jacinto County,2016,1
San Jacinto County,2017,1
San Jacinto County,2018,1
San Jacinto County,2019,1
San Jacinto County,2020,1
Walker County,2015,3
Walker County,2016,2
Walker County,2017,2
Walker County,2018,2
Walker County,2019,2
Walker County,2020,2
Waller County,2015,5
Waller County,2016,6
Waller County,2017,6
Waller County,2018,6
Waller County,2019,6
Waller County,2020,6
Wharton County,2015,3
Wharton County,2016,3
Wharton County,2017,3
Wharton County,2018,3
Wharton County,2019,4
Wharton County,2020,4
